规则ID,描述,Commit,文件位置,凭证,密码强度,香农熵,匹配内容,开始行,结束行,开始列,结束列,提交者,提交信息,提交时间,邮箱,Commit指纹
generic-high-checkout-short-secret,低长度凭证检出,,gradlew,APP_HOME$link,7,3.55,=$APP_HOME$link ,79,79,22,37,,,,,
generic-high-checkout,高长度凭证检出,,README.md,RequiredArgsConstructor,6,3.74," RequiredArgsConstructor)",280,280,51,75,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/config/WebConfig.java,WebMvcConfigurer,6,3.75," WebMvcConfigurer ",14,14,35,52,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/common/presentation/LoginUserArgumentResolver.java,JwtTokenProvider,6,3.62," JwtTokenProvider ",20,20,17,34,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/common/presentation/LoginUserArgumentResolver.java,jwtTokenProvider,5,3.62," jwtTokenProvider)",22,22,53,70,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/common/presentation/LoginUserArgumentResolver.java,jwtTokenProvider,5,3.62," = jwtTokenProvider;",23,23,27,46,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/command/application/LoginRequest.java,password,0,2.75," password;",24,24,18,27,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/common/presentation/AuthenticationInterceptor.java,JwtTokenProvider,6,3.62," JwtTokenProvider ",25,25,17,34,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/common/presentation/AuthenticationInterceptor.java,HttpServletResponse,6,3.37," HttpServletResponse ",34,34,56,76,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/command/application/SignupRequest.java,password,0,2.75," password;",26,26,18,27,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/command/application/PasswordEncryptor.java,password,0,2.75," password)",7,7,39,48,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/command/application/PasswordEncryptor.java,password,0,2.75," password,",11,11,40,49,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/user/command/application/UserAuthService.java,JwtTokenProvider,6,3.62," JwtTokenProvider ",28,28,17,34,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/command/domain/User.java,password,0,2.75,"= ""password""",50,50,17,28,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/command/domain/User.java,password,0,2.75," password;",51,51,18,27,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/command/domain/User.java,password,0,2.75," password)",83,83,40,49,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/query/dto/UserData.java,password,0,2.75,"= ""password""",44,44,17,28,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/main/java/numble/banking/core/user/query/dto/UserData.java,password,0,2.75," password;",45,45,18,27,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/token/JwtTokenProvider.java,JwtTokenProvider,6,3.62," JwtTokenProvider ",24,24,14,31,,,,,
generic-high-checkout,高长度凭证检出,,src/main/java/numble/banking/core/token/JwtTokenProvider.java,MalformedJwtException,6,4.11," | MalformedJwtException ",65,65,57,81,,,,,
generic-high-checkout,高长度凭证检出,,src/test/java/numble/banking/core/token/JwtTokenProviderTest.java,JwtTokenProviderTest,6,3.68," JwtTokenProviderTest ",20,20,7,28,,,,,
generic-high-checkout,高长度凭证检出,,src/test/java/numble/banking/core/token/JwtTokenProviderTest.java,JwtTokenProvider,6,3.62,"  JwtTokenProvider ",25,25,2,20,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserRepositoryTest.java,password,0,2.75," password;",18,18,10,19,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserRepositoryTest.java,password,0,2.75,"   password ",24,24,3,14,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserRepositoryTest.java,password12!,5,3.28,"= ""password12!""",24,24,15,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserTest.java,password,0,2.75," password ",19,19,12,21,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserTest.java,password123!,6,3.42,"= ""password123!""",19,19,22,37,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserTest.java,password,0,2.75," password ",46,46,12,21,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserTest.java,password123!,6,3.42,"= ""password123!""",46,46,22,37,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserTest.java,password,0,2.75," password ",70,70,12,21,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserTest.java,password123!,6,3.42,"= ""password123!""",70,70,22,37,,,,,
generic-high-checkout,高长度凭证检出,,src/test/java/numble/banking/core/user/command/domain/UserTest.java,otherPassword12!,9,3.62,"= ""otherPassword12!""",71,71,27,46,,,,,
generic-high-checkout,高长度凭证检出,,src/test/java/numble/banking/core/user/command/application/UserAuthServiceTest.java,JwtTokenProvider,6,3.62,"  JwtTokenProvider ",44,44,2,20,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/UserAuthServiceTest.java,password,0,2.75," password;",53,53,10,19,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/UserAuthServiceTest.java,password,0,2.75,"   password ",61,61,3,14,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/UserAuthServiceTest.java,password12!,5,3.28,"= ""password12!""",61,61,15,29,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/UserAuthServiceTest.java,password,0,2.75," password)",102,102,61,70,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/UserAuthServiceTest.java,password,0,2.75," password)",117,117,63,72,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/UserAuthServiceTest.java,wrongpw12!,5,3.12," ""wrongpw12!""",129,129,61,73,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/SignupRequestTest.java,password,0,2.75," password,",32,32,33,42,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/SignupRequestTest.java,01223456789,0,3.28,"""01223456789""",66,66,23,35,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/SignupRequestTest.java,password1234,4,3.42,"""password1234""",68,68,23,36,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/SignupRequestTest.java,12345678!,3,3.17,"""12345678!@""",70,70,23,34,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/SignupRequestTest.java,password12!,5,3.28,"""password12!""",72,72,23,35,,,,,
generic-high-checkout-short-secret,低长度凭证检出,,src/test/java/numble/banking/core/user/command/application/SignupRequestTest.java,abcde123!@##,8,3.42,"""abcde123!@##""",73,73,23,36,,,,,
