规则ID,描述,Commit,文件位置,凭证,匹配内容,开始行,结束行,开始列,结束列,提交者,提交信息,提交时间,邮箱,Commit指纹
aws-access-token,应用凭证--AWS,31a31d36c759df4295d5c050448043393a841c46,expected/git/small.txt,AKIALALEMEL332569LIA,AKIALALEMEL332569LIA,44,44,18,37,shenyanjian,又一次修改,2023-01-03 10:09:06,shenyanjian@blingsec.cn,6d5e966316e11ac570e213a711aec4db9ffb8971
aws-access-token,应用凭证--AWS,388aa43f5f956f8710759e2666edce10cf3355a3,config/allow_aws_re.toml,AKIALALEMEL33243OLIA,AKIALALEMEL33243OLIA,9,9,24,43,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,4f2efb523b16ffc36bc55b6dbcb5ebde3683b8dc
aws-access-token,应用凭证--AWS,388aa43f5f956f8710759e2666edce10cf3355a3,config/allow_global_aws_re.toml,AKIALALEMEL33243OLIA,AKIALALEMEL33243OLIA,8,8,20,39,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,dcc047ab4762937fdd4160cb99c260feba0a8a40
aws-access-token,应用凭证--AWS,388aa43f5f956f8710759e2666edce10cf3355a3,expected/git/small-branch-foo.txt,AKIALALEMEL33243OLIA,AKIALALEMEL33243OLIA,15,15,17,36,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,e8cdd67cb7915d77b69292d7def16deb7896d7c6
aws-access-token,应用凭证--AWS,388aa43f5f956f8710759e2666edce10cf3355a3,expected/git/small.txt,AKIALALEMEL33243OLIA,AKIALALEMEL33243OLIA,15,15,17,36,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,6f94576b895a2e941fa92a6d2995cb1dbfcf4900
aws-access-token,应用凭证--AWS,388aa43f5f956f8710759e2666edce10cf3355a3,expected/git/small.txt,AKIALALEMEL33243OLIA,AKIALALEMEL33243OLIA,44,44,19,38,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,6d5e966316e11ac570e213a711aec4db9ffb8971
aws-access-token,应用凭证--AWS,388aa43f5f956f8710759e2666edce10cf3355a3,repos/nogit/main.go,AKIALALEMEL33243OLIA,AKIALALEMEL33243OLIA,20,20,16,35,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,a6c1ce4ac8f7ef1a9478f6789ad139093bed164a
npm-access-token,编程语言凭证--npm access token,388aa43f5f956f8710759e2666edce10cf3355a3,repos/nogit/other_accessKey.py,npm_qwsadewqwsqwe890qw89213u01jwidas0dsa,"npm_qwsadewqwsqwe890qw89213u01jwidas0dsa""",7,7,9,49,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,a50f7a19807ec368898ad7dec7c9ae74de3740a6
hubspot-api-key,应用凭证--HubSpot API Token,388aa43f5f956f8710759e2666edce10cf3355a3,repos/nogit/other_accessKey.py,12345678-ABCD-ABCD-ABCD-1234567890AB,"hubspotKey = ""12345678-ABCD-ABCD-ABCD-1234567890AB""",1,1,1,51,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,cacbdf2febf0348136b513e4719063ec4741c4b9
jwt,JWT--JSON Web Token,388aa43f5f956f8710759e2666edce10cf3355a3,repos/nogit/other_accessKey.py,"eyJhbGciOieeeiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwic3ViZSI6IjEyMzQ1Njc4OTAiLCJuYW1lZWEiOiJKb2huIERvZSIsInN1ZmV3YWZiIjoiMTIzNDU2Nzg5MCIsIm5hbWVmZWF3ZnciOiJKb2huIERvZSIsIm5hbWVhZmV3ZmEiOiJKb2huIERvZSIsInN1ZndhZndlYWIiOiIxMjM0NTY3ODkwIiwibmFtZWZ3YWYiOiJKb2huIERvZSIsInN1YmZ3YWYiOiIxMjM0NTY3ODkwIiwibmFtZndhZSI6IkpvaG4gRG9lIiwiaWZ3YWZhYXQiOjE1MTYyMzkwMjJ9.a_5icKBDo-8EjUlrfvz2k2k-FYaindQ0DEYNrlsnRG0""","eyJhbGciOieeeiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwic3ViZSI6IjEyMzQ1Njc4OTAiLCJuYW1lZWEiOiJKb2huIERvZSIsInN1ZmV3YWZiIjoiMTIzNDU2Nzg5MCIsIm5hbWVmZWF3ZnciOiJKb2huIERvZSIsIm5hbWVhZmV3ZmEiOiJKb2huIERvZSIsInN1ZndhZndlYWIiOiIxMjM0NTY3ODkwIiwibmFtZWZ3YWYiOiJKb2huIERvZSIsInN1YmZ3YWYiOiIxMjM0NTY3ODkwIiwibmFtZndhZSI6IkpvaG4gRG9lIiwiaWZ3YWZhYXQiOjE1MTYyMzkwMjJ9.a_5icKBDo-8EjUlrfvz2k2k-FYaindQ0DEYNrlsnRG0""",3,3,9,438,shenyanjian,Initial commit,2022-10-11 13:36:25,shenyanjian@blingsec.cn,15b3ec2cda68e86200b5492682c4dd7fa4bd9015
