规则ID,描述,Commit,文件位置,凭证,匹配内容,开始行,结束行,开始列,结束列,提交者,提交信息,提交时间,邮箱,Commit指纹
qiye-weixin-developer-app-secret,应用凭证--Qiye WeiXin Developer App Secret,b497e04858bff47a35349574d561a559d2e8ee8e,internal/base/flag.go,CxydMDAEscOL7Hqbqphf77rY3HpVsJDu4cizL,"CxydMDAEscOL7Hqbqphf77rY3HpVsJDu4cizL""",61,61,25,62,shenyanjian,add weixin and qiyeweixin APP id,2022-10-14 19:03:16,shenyanjian@blingsec.cn,7f0d1ceec52e01d09be1b2fe71d7d5136e095540
qiye-weixin-developer-app-id,应用凭证--Qiye WeiXin Developer App ID,b497e04858bff47a35349574d561a559d2e8ee8e,internal/base/flag.go,wwaa6fb8ff1b81,"wwaa6fb8ff1b81""",62,62,22,36,shenyanjian,add weixin and qiyeweixin APP id,2022-10-14 19:03:16,shenyanjian@blingsec.cn,fb60d8ac325da20052988de9d0fd211f3799bbb4
tencent-connect-key-id,应用凭证--Tencent Connect Secret,8c802059cc157957e377b3a005fc1d4b4787f008,internal/base/version.go,qMsHsFezmAbBFC5iLFFRW0VmclSfVeym,"qMsHsFezmAbBFC5iLFFRW0VmclSfVeym""",15,15,14,46,shenyanjian,add Tencent APP id,2022-10-14 19:04:42,shenyanjian@blingsec.cn,f7924d0de754063f59234cfac52da733e0a6f0a0
tencent-connect-key-id,应用凭证--Tencent Connect Secret,6b915d6cbdbf88f974410a1cf33f840e5418ca60,internal/selfdiagnosis/diagnoses.go,LongMessageServerResponseLatency,LongMessageServerResponseLatency ,46,46,18,50,shenyanjian,add many dirs,2022-10-14 11:19:37,shenyanjian@blingsec.cn,7cf0834e2fb31b8ff7c858a1b1a165f06a801cc2
tencent-connect-key-id,应用凭证--Tencent Connect Secret,6b915d6cbdbf88f974410a1cf33f840e5418ca60,internal/selfdiagnosis/diagnoses.go,LongMessageServerResponseLatency,LongMessageServerResponseLatency ,47,47,19,51,shenyanjian,add many dirs,2022-10-14 11:19:37,shenyanjian@blingsec.cn,6a1094c20a340c35fb5897eff4929ae5521a517b
jwt,JWT--JSON Web Token,eb3dfebe9dad87ce54f53228d67923692af17ce5,repos/nogit/other_accessKey.py,"eyJhbGciOieeeiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwic3ViZSI6IjEyMzQ1Njc4OTAiLCJuYW1lZWEiOiJKb2huIERvZSIsInN1ZmV3YWZiIjoiMTIzNDU2Nzg5MCIsIm5hbWVmZWF3ZnciOiJKb2huIERvZSIsIm5hbWVhZmV3ZmEiOiJKb2huIERvZSIsInN1ZndhZndlYWIiOiIxMjM0NTY3ODkwIiwibmFtZWZ3YWYiOiJKb2huIERvZSIsInN1YmZ3YWYiOiIxMjM0NTY3ODkwIiwibmFtZndhZSI6IkpvaG4gRG9lIiwiaWZ3YWZhYXQiOjE1MTYyMzkwMjJ9.a_5icKBDo-8EjUlrfvz2k2k-FYaindQ0DEYNrlsnRG0""","eyJhbGciOieeeiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwic3ViZSI6IjEyMzQ1Njc4OTAiLCJuYW1lZWEiOiJKb2huIERvZSIsInN1ZmV3YWZiIjoiMTIzNDU2Nzg5MCIsIm5hbWVmZWF3ZnciOiJKb2huIERvZSIsIm5hbWVhZmV3ZmEiOiJKb2huIERvZSIsInN1ZndhZndlYWIiOiIxMjM0NTY3ODkwIiwibmFtZWZ3YWYiOiJKb2huIERvZSIsInN1YmZ3YWYiOiIxMjM0NTY3ODkwIiwibmFtZndhZSI6IkpvaG4gRG9lIiwiaWZ3YWZhYXQiOjE1MTYyMzkwMjJ9.a_5icKBDo-8EjUlrfvz2k2k-FYaindQ0DEYNrlsnRG0""",3,3,9,438,shenyanjian,add dir called repos and subdir nogit,2022-10-14 11:17:18,shenyanjian@blingsec.cn,15b3ec2cda68e86200b5492682c4dd7fa4bd9015
hubspot-api-key,应用凭证--HubSpot API Token,eb3dfebe9dad87ce54f53228d67923692af17ce5,repos/nogit/other_accessKey.py,12345678-ABCD-ABCD-ABCD-1234567890AB,"hubspotKey = ""12345678-ABCD-ABCD-ABCD-1234567890AB""",1,1,1,51,shenyanjian,add dir called repos and subdir nogit,2022-10-14 11:17:18,shenyanjian@blingsec.cn,cacbdf2febf0348136b513e4719063ec4741c4b9
npm-access-token,编程语言凭证--npm access token,eb3dfebe9dad87ce54f53228d67923692af17ce5,repos/nogit/other_accessKey.py,npm_qwsadewqwsqwe890qw89213u01jwidas0dsa,"npm_qwsadewqwsqwe890qw89213u01jwidas0dsa""",7,7,9,49,shenyanjian,add dir called repos and subdir nogit,2022-10-14 11:17:18,shenyanjian@blingsec.cn,a50f7a19807ec368898ad7dec7c9ae74de3740a6
generic-api-key,通用API--Generic API Key,eb3dfebe9dad87ce54f53228d67923692af17ce5,repos/nogit/3jge.java,qweasdzxcrtyfghvbn,"API = ""qweasdzxcrtyfghvbn""",21,21,21,46,shenyanjian,add dir called repos and subdir nogit,2022-10-14 11:17:18,shenyanjian@blingsec.cn,c37eff94cde4680e52e879bb58916f714e64662c
weixin-developer-app-id,应用凭证--WeiXin Developer App ID,eb3dfebe9dad87ce54f53228d67923692af17ce5,repos/nogit/3jge.java,wx541e206dd166434a,"wx541e206dd166434a""",93,93,21,39,shenyanjian,add dir called repos and subdir nogit,2022-10-14 11:17:18,shenyanjian@blingsec.cn,c30c9769e1fc6ae760be552952c09026851bcbc0
