规则ID,描述,Commit,文件位置,凭证,密码强度,香农熵,匹配内容,开始行,结束行,开始列,结束列,提交者,提交信息,提交时间,邮箱,Commit指纹
aws-access-token,应用凭证--AWS,,expected/git/small-branch-foo.txt,AKIALALEMEL33243OLIA,0,3.08,AKIALALEMEL33243OLIA,15,15,17,36,,,,,
github-oauth,VCS凭证--GitHub OAuth Access Token,,repos/nogit/githubOauthPAT.r,gho_123456789012345678901234567890123456,0,3.65,gho_123456789012345678901234567890123456,2,2,7,46,,,,,
github-oauth,VCS凭证--GitHub OAuth Access Token,,repos/nogit/githubOauthPAT.r,gho_ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789,0,5.32,gho_ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789,3,3,7,46,,,,,
github-oauth,VCS凭证--GitHub OAuth Access Token,,repos/nogit/githubOauthPAT.r,gho_987654321098765432109876543210987654,0,3.65,gho_987654321098765432109876543210987654,4,4,7,46,,,,,
github-oauth,VCS凭证--GitHub OAuth Access Token,,repos/nogit/githubOauthPAT.r,gho_EFGHIJKLMNOPQRSTUVWXYZ0123456789ABCD,0,5.32,gho_EFGHIJKLMNOPQRSTUVWXYZ0123456789ABCD,5,5,7,46,,,,,
linkedin-client-id,应用凭证--LinkedIn Client ID,,repos/nogit/linkelinding.cs,12f4567890abcd,0,3.81,"LinkedIn Client ID: 12f4567890abcd""",8,8,47,81,,,,,
aws-access-token,应用凭证--AWS,,repos/nogit/main.go,AKIALALEMEL33243OLIA,0,3.08,AKIALALEMEL33243OLIA,20,20,16,35,,,,,
github-pat,VCS凭证--GitHub Personal Access Token,,repos/nogit/githubPAT.cpp,ghp_123456789012345678901234567890123456,0,3.65,ghp_123456789012345678901234567890123456,7,7,11,50,,,,,
github-pat,VCS凭证--GitHub Personal Access Token,,repos/nogit/githubPAT.cpp,ghp_ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789,0,5.32,ghp_ABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789,8,8,11,50,,,,,
github-pat,VCS凭证--GitHub Personal Access Token,,repos/nogit/githubPAT.cpp,ghp_987654321098765432109876543210987654,0,3.65,ghp_987654321098765432109876543210987654,9,9,11,50,,,,,
github-pat,VCS凭证--GitHub Personal Access Token,,repos/nogit/githubPAT.cpp,ghp_EFGHIJKLMNOPQRSTUVWXYZ0123456789ABCD,0,5.32,ghp_EFGHIJKLMNOPQRSTUVWXYZ0123456789ABCD,10,10,11,50,,,,,
npm-access-token,编程语言凭证--npm access token,,repos/nogit/other_accessKey.py,npm_qwsadewqwsqwe890qw89213u01jwidas0dsa,0,3.98,"npm_qwsadewqwsqwe890qw89213u01jwidas0dsa""",7,7,9,49,,,,,
